threshold,threshold_percent,xgboost_net_benefit,clinical_baseline_net_benefit,treat_all_net_benefit,treat_none_net_benefit,xgboost_minus_clinical,xgboost_minus_treat_all,xgboost_minus_treat_none,clinical_minus_treat_all,clinical_minus_treat_none,bootstrap_replicates,ci_type,xgboost_net_benefit_ci95_lower,xgboost_net_benefit_ci95_upper,clinical_baseline_net_benefit_ci95_lower,clinical_baseline_net_benefit_ci95_upper,treat_all_net_benefit_ci95_lower,treat_all_net_benefit_ci95_upper,xgboost_minus_clinical_ci95_lower,xgboost_minus_clinical_ci95_upper,xgboost_minus_treat_all_ci95_lower,xgboost_minus_treat_all_ci95_upper,xgboost_minus_treat_none_ci95_lower,xgboost_minus_treat_none_ci95_upper,clinical_minus_treat_all_ci95_lower,clinical_minus_treat_all_ci95_upper,clinical_minus_treat_none_ci95_lower,clinical_minus_treat_none_ci95_upper
0.005,0.5,0.04720367150072223,0.04707256856679149,0.04707239674119001,0.0,0.0001311029339307393,0.0001312747595322225,0.04720367150072223,1.718256014832109e-07,0.04707256856679149,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.04463907067951352,0.04997236447842648,0.04450421343485387,0.04984257991583356,0.044503945346287564,0.04984225654140657,7.581907710521689e-05,0.0001723772647516754,7.621809330979803e-05,0.0001725081980201751,0.04463907067951352,0.04997236447842648,0.0,4.5072656048358167e-07,0.04450421343485387,0.04984257991583356
0.01,1.0,0.043536526123590796,0.04220091530959869,0.042259631068165715,0.0,0.0013356108139921039,0.0012768950554250813,0.043536526123590796,-5.871575856702255e-05,0.04220091530959869,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.04102994553008437,0.046223361035073234,0.0395988983337613,0.045006096575187976,0.03967820769652134,0.04504348005929245,0.0010475298865035532,0.0016149473645296199,0.0009972643167620748,0.0015536217433757007,0.04102994553008437,0.046223361035073234,-0.00013217395981575224,-4.762321648065661e-06,0.0395988983337613,0.045006096575187976
0.015,1.5,0.04074313311423589,0.03750856893511406,0.03739800482993305,0.0,0.0032345641791218308,0.003345128284302841,0.04074313311423589,0.00011056410518101023,0.03750856893511406,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.03826643769491444,0.043307307925530704,0.034916488058445376,0.040264472863792145,0.0348034777863514,0.04019598503421272,0.0026158840656642845,0.003798817474858716,0.002739440167931994,0.003909632984882891,0.03826643769491444,0.043307307925530704,-3.7670772567396406e-05,0.0002484959246832117,0.034916488058445376,0.040264472863792145
0.02,2.0,0.038912318273978314,0.03352931673772243,0.03248677016069802,0.0,0.005383001536255885,0.006425548113280291,0.038912318273978314,0.0010425465770244058,0.03352931673772243,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.036459633427777645,0.04139699941014111,0.030959084027710894,0.036246848337093934,0.029879005734240946,0.03529902577418319,0.0046898008325119795,0.006090266758288271,0.005715382133630416,0.0071345925446853736,0.036459633427777645,0.04139699941014111,0.0006274565542782227,0.0014271571640962954,0.030959084027710894,0.036246848337093934
0.025,2.5,0.03727112959302527,0.03154638298506586,0.0275251638538298,0.0,0.005724746607959408,0.009745965739195468,0.03727112959302527,0.00402121913123606,0.03154638298506586,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.03490518487826195,0.039728422062039935,0.029038889354429963,0.03424353503976829,0.024904026276467824,0.030351841290973874,0.00494821974706662,0.006510969779569466,0.008866652564487421,0.010623459916885791,0.03490518487826195,0.039728422062039935,0.0033086477280040907,0.004677380637081949,0.029038889354429963,0.03424353503976829
0.03,3.0,0.03603039114132812,0.030446308860275797,0.02251240696647841,0.0,0.005584082281052321,0.013517984174849708,0.03603039114132812,0.007933901893797387,0.030446308860275797,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.0337066021164765,0.03847604467396236,0.028151631769394385,0.03283483256533779,0.01987775837067642,0.0253536549058758,0.004791191684018824,0.006398414576393412,0.012571749957100335,0.014455343774465333,0.0337066021164765,0.03847604467396236,0.006884453130392714,0.008901494879740957,0.028151631769394385,0.03283483256533779
0.035,3.5000000000000004,0.03480301606119289,0.030322099950189408,0.01744770441190057,0.0,0.004480916111003482,0.01735531164929232,0.03480301606119289,0.012874395538288837,0.030322099950189408,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.03254445787411853,0.037140006642779,0.028199367962741865,0.03250132674402001,0.01479940478710479,0.020303673843211946,0.0037641319450662223,0.005198432911207788,0.016358934851706742,0.018345193876528356,0.03254445787411853,0.037140006642779,0.011702702282712751,0.01396867940957098,0.028199367962741865,0.03250132674402001
0.04,4.0,0.0335835142728511,0.02978449676018533,0.012330244539045895,0.0,0.0037990175126657692,0.021253269733805202,0.0335835142728511,0.017454252221139433,0.02978449676018533,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.031370386171891904,0.03587396408086025,0.027736950332815927,0.03186572389071972,0.00966815168703763,0.015201088811145342,0.0031469342993073403,0.00450346115123054,0.02016297981059327,0.02228701267432732,0.031370386171891904,0.03587396408086025,0.016293896322355672,0.01856994923986332,0.027736950332815927,0.03186572389071972
0.045,4.5,0.032466891357787984,0.029086230745124703,0.007159198698936185,0.0,0.003380660612663282,0.0253076926588518,0.032466891357787984,0.021927032046188517,0.029086230745124703,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.030331239688654574,0.034677449409404884,0.027088096351281774,0.031052161544533545,0.004483168188016884,0.010045073569318877,0.0027878873366988005,0.004025592523559058,0.024153612862063373,0.026438315428495993,0.030331239688654574,0.034677449409404884,0.020547680706228495,0.023181222428914666,0.027088096351281774,0.031052161544533545
0.05,5.0,0.03160720182772158,0.028532504775813462,0.001933720797351629,0.0,0.003074697051908118,0.02967348103036995,0.03160720182772158,0.026598783978461833,0.028532504775813462,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.029469507576242948,0.03382984385533914,0.02653100422339192,0.030493035447913017,-0.0007563940846777629,0.004834784482841603,0.0023774078529295497,0.003788958776894003,0.028434799347060436,0.030874643080708888,0.029469507576242948,0.03382984385533914,0.025208937572944408,0.027918210452819826,0.02653100422339192,0.030493035447913017
